url,subject,source
https://youtu.be/wbEEWmJFDVg?si=WBgmDBrdE9SGj1wp,Math,Khan Academy
https://youtu.be/FXgV9ySNusc?si=zROHMquRMxOFiBY2,Math,Khan Academy
https://youtu.be/QKkdYW77xNI?si=AXI7lUtKTSg69_Cw,Math,The Organic Chemistry Tutor
https://youtu.be/K_PiPfYxtao?si=Qr9sF8_zqnHcmoru,Math,Khan Academy
https://youtu.be/KzaPBzFFLRM?si=yhak0v2EPT1l3PCO,Math,Khan Academy
https://youtu.be/OLzXqIqZZz0?si=hTEvaEh4uRc6_123,Math,Khan Academy
https://youtu.be/VMAMARmmDac?si=PaHEHxjOgoL4ht3u,Math,The Organic Chemistry Tutor
https://youtu.be/9CGY0s-uCUE?si=Dj-gW9AnTJru1aFm,Math,The Organic Chemistry Tutor
https://youtu.be/m6c6dlmUT1c?si=UfCiKD37W12uxs5y,Math,Khan Academy
https://youtu.be/jexMSlSDubM?si=NdcJnmNb-b3s1YdE,Math,Khan Academy
https://youtu.be/NmLljBAg82o?si=UifUb4phHfZvtl0-,Math,The Organic Chemistry Tutor
https://youtu.be/PdSzruR5OeE?si=3ztASOJ48-NFIceP,Math,Khan Academy
https://youtu.be/LGY-DjFsALc?si=CxhVde5c4ccFrFgA,Math,The Organic Chemistry Tutor
https://youtu.be/I9mVUo-bhM8?si=QamPomyxz5umimqR,Math,The Organic Chemistry Tutor
https://youtu.be/V239IIoGVT8?si=BTELdxzAEZwVXfyb,Math,The Organic Chemistry Tutor
https://youtu.be/KbYW9FDm-Zk?si=1kWRhtEeOg9lL61Z,Math,The Organic Chemistry Tutor
https://youtu.be/Himr2l8Rd18?si=6GO8l-StQJNPUkDw,Math,Khan Academy
https://youtu.be/EV5dhv0A2wU?si=OMkebBbKKW2iT6d3,Math,Khan Academy
https://youtu.be/Ik3YW1JGr_A?si=BAYpwcdUKIec0vkv,Math,The Organic Chemistry Tutor
https://youtu.be/ND9cEdfCFr0?si=PpbwVOni3hp4YLsz,Math,The Organic Chemistry Tutor
https://youtu.be/C7nuJcJriWM?si=3YglXdpEiU-Mh39z,Math,The Organic Chemistry Tutor
https://youtu.be/yRwQ7A6jVLk?si=2Iw83ogWY7wK-rFN,Math,The Organic Chemistry Tutor
https://youtu.be/4PCktDZJH8E?si=Uvv4EwTzzsDN1XTk,Math,The Organic Chemistry Tutor
https://youtu.be/6xPkG2pA-TU?si=Hl0AqSd7XhvL_ylN,Math,Khan Academy
https://youtu.be/WWv0RUxDfbs?si=ioD1zOoJez0XPH8f,Math,Khan Academy
https://youtu.be/y2wPAZwZTng?si=xGZoyUDSApyzus1Q,Math,The Organic Chemistry Tutor
https://youtu.be/kqVpPSzkTYA?si=En3CHdh4UndCeMAh,Math,The Organic Chemistry Tutor
https://youtu.be/e5nwJKUc3bA?si=ksKqVzvDtuef-_So,Math,The Organic Chemistry Tutor
https://youtu.be/a70-dYvDJZY?si=WZp-r4WtLQFrxWeg,Math,Khan Academy
https://youtu.be/eZPEW2hVUd0?si=wzFNKrVJWMCJOydK,Math,The Organic Chemistry Tutor
https://youtu.be/uyKvSe6Ltgs?si=qDrevsEejWBA_aGj,Math,The Organic Chemistry Tutor
https://youtu.be/JPdLEaxlnZQ?si=y4AZT0dBjV2xVXsp,Math,The Organic Chemistry Tutor
https://youtu.be/Uzw9tsGq2Pw?si=OxN0PipDKfjIOcZP,Math,The Organic Chemistry Tutor
https://youtu.be/uUh2B9hnI_U?si=deQfC4uTPqj34tUK,Math,The Organic Chemistry Tutor
https://youtu.be/HvrHNR26irM?si=rI9erSfG1Ma0ICSM,Math,Khan Academy
https://youtu.be/s7rd9YPJrNc?si=CXN6ukJ9JawKAh6G,Math,The Organic Chemistry Tutor
https://youtu.be/OhISsmqv4_8?si=zvZWy_kxNETxGZHy,Math,Khan Academy
https://youtu.be/Thvc2s9aUP4?si=SF6FSkN3Y7GPNHjT,Math,Khan Academy
https://youtu.be/jfIPQ5_71Mc?si=JVEBW2uCFuMtELn3,Math,Khan Academy
https://youtu.be/eYjSu_xXUUQ?si=KFfInHEOnw-9L0tm,Math,The Organic Chemistry Tutor
https://youtu.be/vXqlIOX2itM?si=m3ywaHuB2JJbJGAT,Math,The Organic Chemistry Tutor
https://youtu.be/PhfbEr2btGQ?si=C3L5w3u6Ix3Qjxc9,Math,Khan Academy
https://youtu.be/WTD8jg8fXoE?si=k9B5fDTs0xLTt-6F,Math,Khan Academy
https://youtu.be/PLxHkjrVBgE?si=ODeGcWO2wmt_SY8H,Math,Khan Academy
https://youtu.be/OiNh2DswFt4?si=PqbyoVH0UKc_5K77,Math,Khan Academy
https://youtu.be/av947KCWf2U?si=Vhx2GKqd2Hk67bpH,Math,Khan Academy
https://youtu.be/lfZGtjSWcQs?si=4WIpbYaZlaka8oMS,Math,Khan Academy
https://youtu.be/znE4Nq9NJCQ?si=d6iIK2G3mokq4sQM,Math,Khan Academy
https://youtu.be/BSKtQcLQLWU?si=Y3FwBTmxdCJCatqW,Math,Khan Academy
https://youtu.be/gGXnILbrhsM?si=7AuXW-350cye2Ree,Math,Khan Academy
https://www.youtube.com/watch?v=ZZ39o1rAZWY,Physics,Khan Academy
https://youtu.be/63rtI9XqUps?si=Gccranfc33mmzls2,Physics,The Organic Chemistry Tutor
https://youtu.be/EwSHKuSxX_8?si=2GVTQqyHmMbrM6_n,Physics,The Organic Chemistry Tutor
https://youtu.be/ecMYbfbTE-w?si=3V5e13blpy9en-X8,Physics,The Organic Chemistry Tutor
https://youtu.be/_39hCnqbNXM?si=BxqcG9TXjEW51Qvp,Physics,The Organic Chemistry Tutor
https://youtu.be/YGDT7dVCqyY?si=Jqzv3u3Ow6szDpk5,Physics,Khan Academy
https://youtu.be/BrLbtCnrPaA?si=Uiqj-_FPQC-LNbjd,Physics,Khan Academy
https://youtu.be/nnMirzeTepQ?si=hkRgsmEXxEsZU1XJJ,Physics,Khan Academy
https://youtu.be/BYkxKrbETb4?si=ijhkqe-bSuOXo9w_,Physics,Khan Academy
https://youtu.be/N7DAqKuSCsk?si=Hq6GH5FNw0gtq0lN,Physics,The Organic Chemistry Tutor
https://youtu.be/MR8jQZLcHKM?si=3s2AUMiam-TuYg1s,Physics,The Organic Chemistry Tutor
https://youtu.be/BnqKCCFKG0M?si=rRL6WRzYn5XVqA_8,Physics,Khan Academy
https://youtu.be/3Mjx0cFMpE8?si=rdOPqXAradu7dRMj,Physics,The Organic Chemistry Tutor
https://youtu.be/ZzwuHS9ldbY?si=s-X-GmwC1X9CK-ng,Physics,Khan Academy
https://youtu.be/PJMFxBIqkSs?si=XctwtrJlLGv9xdkQ,Physics,Khan Academy
https://youtu.be/Fp7D5D8Bqjc?si=iR0gn-40czF55qzj,Physics,The Organic Chemistry Tutor
https://youtu.be/CFbo_nBdBco?si=xeC8z9YyI2_7TeEs,Physics,The Organic Chemistry Tutor
https://youtu.be/okFcjFD5umU?si=C0kBWnHme-p1U4L-,Physics,Khan Academy
https://youtu.be/FYKoU0sb9ks?si=AG6RM7opy657zmpQ,Physics,The Organic Chemistry Tutor
https://youtu.be/hODlmGK7pl8?si=uKO_BOGI7VkJWeCl,Physics,The Organic Chemistry Tutor
https://youtu.be/uMYAc04D0ak?si=7x0ANoupRDwVt0X2,Physics,Khan Academy
